,Surname,Caste/Community/Ethnicity,Clan/Sub-caste/Gotra
128,Chyamkhal,Newar-Dalit,Chyame
129,Chyawa,Tamang,
130,Dafali,Muslim,
131,Dahal,Bahun,Batsa (Purbiya)
132,Dali,Newar,Duhim
133,Damai,Dalit,Pariyar
134,Damrang,Tamang,
135,Dangal,Bahun,
136,Dangauriya,Tharu,
137,Dangi,Khas-Chhetri,
138,Dangol,Newar,Jyapu
139,Dangora,Tharu,
140,Danwar,Tharu,
141,Danya,Newar,Jogi
142,Darden,Tamang,
143,Dargarcha,Sunuwar,
144,Darji/Darjee,Dalit,Pariyar
145,Darlami,Magar,Thapa
146,Darnal,Dalit,
147,Darpa,Tamang,
148,Darzi,Muslim,
149,Das,Tarai-Dalit,Tatma
150,Daubhadel,Newar-Kshatriya,Shrestha/Sheshya
151,Dawadi,Bahun,
152,Deola,Newar-Dalit,Pore
153,Deppacha,Jirel,
154,Deuba,Khas-Chhetri,
155,Deula,Newar-Dalit,Pode
156,Dev,Bahun,
157,Dev,Newar-Brahman,Rajopadhyaya Devabhaju Brahman
158,Dev,Thakuri,
159,Devkota,Bahun,(Purbiya)
160,Devlinga,Jirel,
161,Dhakal,Bahun,Upamanyu (Purbiya)
162,Dhami,Khas-Chhetri,
163,Dhandi,Tarai-Dalit,
164,Dhanuk,Tarai-Hindu,
165,Dharikar/Dhankar,Tarai-Dalit,
166,Dhital,Bahun,"Kaushik, Gautam (Purbiya)"
167,Dhobi,Muslim,
168,Dhobi,Tarai-Dalit,Dhobi
169,Dholi,Dalit,Pariyar
170,Dhungana,Bahun,Kaushik (Purbiya)
171,Dhungel/Dhungyal,Bahun,Agasti (Purbiya)
172,Dhuniya,Muslim,
173,Dhyapa,Tamang,
174,Dimdu,Tamang,
175,Dixit,Bahun,
176,Dixit/Dikshit,Tarai-Brahman,
177,Doeja,Khas-Chhetri,
178,Dom,Newar-Dalit,Jogi
179,Dom,Tarai-Dalit,Dom
180,Dong,Tamang,
181,Dotel/Dotiyal,Bahun,
182,Dudh,Magar,
183,Dulal,Bahun,
184,Durbicha,Sunuwar,
185,Dushadh,Tarai-Dalit,Dushadh
186,Duwadi,Bahun,Atreya (Purbiya)
187,Duwal,Newar,Jyapu
188,Ektinhang,Limbu,
189,Esmali,Magar,
190,Faqir,Muslim,
191,Gachhadar,Tharu,
192,Gaddi,Muslim,
193,Gaha,Magar,Thapa
194,Gaine,Dalit,Gandharba
195,Gaire,Bahun,
196,Gaithaula,Bahun,
197,Gandharba/Gandharva,Dalit,Gandharba
198,Garbhar,Tarai-Hindu,Rajput
199,Garden,Tamang,
200,Garmeba,Tamang,
201,Garshejata,Sunuwar,
202,Gartola,Bahun,
203,Gauchan,Thakali,
204,Gaudel,Bahun,
205,Gautam,Bahun,Atreya (Purbiya)
206,Gautam,Tarai-Hindu,Rajput
207,Ghale,Gurung,
208,Ghartel/Ghartyal,Bahun,
209,Gharti,Magar,
210,Gharti/Gharti,Khas-Chhetri,
211,G.C.,Khas-Chhetri,
212,Ghartmel,Bahun,
213,Ghimire/Ghimirya,Bahun,Kashyap (Purbiya)
214,Ghising,Tamang,
215,Ghodane,Gurung,
216,Ghurcholi,Bahun,
217,Ghyalang,Magar,Thapa
218,Gilal,Bahun,
219,Giri,Newar,Jogi
220,Giri,Dashnami/Sanyasi,
221,Glan,Tamang,
222,Gole,Tamang,
223,Gomden,Tamang,
224,Gonga,Newar-Kshatriya,Shrestha/Sheshya
225,Gorkhali,Newar-Kshatriya,Shrestha/Sheshya
226,Gotame,Bahun,
227,Grandan,Tamang,
228,Guragain/Gurangain,Bahun,Dhananjaya
229,Gurung,Gurung,
230,Gurung,Chan,Magar
231,Gurwacharya,Newar-Kshatriya,Shrestha/Sheshya
232,Gwala,Tarai-Hindu,
233,Gyawali,Bahun,Mandabya (Purbiya)
234,Hada,Newar-Kshatriya,Shrestha/Sheshya
235,Haeljliya,Tharu,
236,Hajam,Tarai-Hindu,
237,Hajara,Tarai-Dalit,Dushadh
238,Hajjam,Muslim,
239,Halahulu,Newar-Dalit,Halahulu
240,Halal-khor,Muslim,
241,Haldaliya,Tharu,
242,Halkhor,Tarai-Dalit,Mestar
243,Halocha,Sunuwar,
244,Haluwai/Halwai,Tarai-Hindu,
245,Hamal,Thakuri,
246,Harijan,Tarai-Dalit,Chamar
247,Hellok,Limbu,
248,Hemjliya,Tharu,
249,Hina,Limbu,
250,Hiski,Magar,
251,Humagain/Hamyagain,Bahun,
252,Hudke,Dalit,Pariyar
253,Ingbadokpa,Limbu,
254,Jalari,Newar-Dalit,Pode
255,Jat,Muslim,
256,Jauhari,Tarai-Hindu,Kayastha
257,Jha,Newar-Brahman,Tirhute Brahman
258,Jha,Tarai-Brahman,Kashyap
259,Jhainti,Sunuwar,
260,Jhankri,Magar,
261,Jhupucha,Jirel,
262,Jijicha,Sunuwar,
263,Jogi,Tharu,
264,Jonche,Newar-Kshatriya,Shrestha/Sheshya
265,Joshi,Bahun,"Kaushik, Angiras, Bharadwaj, Garga (Purbiya, Kumai)"
266,Joshi,Newar-Kshatriya,Shrestha/Sheshya
267,Juju,Newar-Brahman,Rajopadhyaya Devabhaju Brahman
268,Julaha,Muslim,
269,Kabhuja,Newar,Jyapu
270,Kadariya,Bahun,
271,Kadayat,Khas-Chhetri,
272,Kadel,Bahun,Bharadwaj (Kumai)
273,Kaji,Khas-Chhetri,
274,Kakaihiya,Tarai-Dalit,
275,Kalar,Tarai-Dalit,
276,Kalwar,Tarai-Hindu,
277,Kalyal,Thakuri,
278,Kambang,Limbu,
279,Kami,Dalit,Bishwokarma
280,Kamsakar,Newar,Uray/Udhas
281,Kandariya,Bahun,
282,Kandel/Kandyal,Bahun,
283,Kanga,Limbu,
284,Kanphata,Tharu,
285,Kanphatta,Newar,Jogi
286,Kaphalya,Tarai-Brahman,
287,Kaphle/Kafle,Bahun,
288,Karanjit,Newar,Bha
289,Karcholiya,Tarai-Hindu,Rajput
290,Karki,Khas-Chhetri,
291,Karmaba,Tamang,
292,Karmacharya,Newar-Kshatriya,Shrestha/Sheshya
293,Karn,Tarai-Hindu,Kayastha
294,Karte,Tamang,
295,Kasain,Newar-Dalit,Nay
296,Kasaju,Newar-Kshatriya,Shrestha/Sheshya
297,Kathayat,Khas-Chhetri,
298,Katicha,Sunuwar,
299,Katriya,Tharu,
300,Katawal/Katwal/Katuwal,Khas-Chhetri,
301,Kawar,Khas-Chhetri,
302,Kayastha,Newar-Kshatriya,Shrestha/Sheshya
303,Kayastha,Tarai-Hindu,
304,Ketra,Rai,
305,Kewat,Tarai-Hindu,
306,Khadayat,Khas-Chhetri,
307,Khadgi,Newar,Nay
308,Khadka/Khadga,Khas-Chhetri,
309,Khakurel,Bahun,(Kumai)
310,Khalinge,Rai,
311,Khan,Tharu,
312,Khan,Muslim,
313,Khanal,Bahun,Kaushik (Purbiya)
314,Khand,Thakuri,
315,Khang,Tarai-Dalit,Khatwe
316,Kharal,Tharu,
317,Kharel,Bahun,Bashista (Kumai)
318,Khas,Tharu,
319,Khasu,Magar,Rana
320,Khatave,Tarai-Hindu,
321,Khati,Khas-Chhetri,
322,Khatik,Tarai-Dalit,
323,Khatiwada,Bahun,Atreya (Purbiya)
324,Khatri,Khas-Chhetri,
325,Khatri Chhetri/K.C.,Khas-Chhetri,
326,Khatwe,Tarai-Dalit,
327,Khausiya,Tharu,
328,Khawas,Tharu,
329,Khulal,Khas-Chhetri,
330,Khunaha,Tharu,
331,Khusa,Newar,Khusa
332,Khwakhali,Newar-Kshatriya,Shrestha/Sheshya
333,Khyargoli,Newar-Kshatriya,Shrestha/Sheshya
334,Kochila,Tharu,
335,Koikyal,Bahun,
336,Koirala,Bahun,Maudgalya (Purbiya)
337,Koiri/Koeri,Tarai-Hindu,
338,Kori,Tarai-Dalit,
339,Kuinkel,Bahun,Maudgalya (Purbiya)
340,Kulu,Newar-Dalit,Kulu
341,Kulunge,Rai,
342,Kumale,Newar,Kuma
343,Kumar Chauhan,Tarai-Hindu,Rajput
344,Kunwar,Khas-Chhetri,
345,Kurmi,Tarai-Hindu,
346,Kusle,Newar-Dalit,Jogi
347,Laeden,Tamang,
348,Lakaul/Lakoul,Newar-Kshatriya,Shrestha/Sheshya
349,Lakhey,Newar-Kshatriya,Shrestha/Sheshya
350,Lalpuriya,Tharu,
351,Lama,Sherpa,
352,Lama,Tamang,
353,Lama,Gurung,
354,Lamichhane,Bahun,"Kaushik, Garga (Purbiya)"
355,Lamichhane,Gurung,
356,Lampuchhwa,Tharu,
357,Lamsal,Bahun,(Purbiya)
358,Lawat,Newar,Jyapu
359,Lawati,Limbu,
360,Layeku,Newar-Kshatriya,Shrestha/Sheshya
361,Lekhak,Bahun,Bharadwaj (Kumai)
362,Likhim,Limbu,
363,Lingden,Limbu,
364,Lo,Tamang,
365,Lochan,Tamang,
366,Lohamkami,Newar,Uray / Udhas
367,Lohani,Bahun,Bharadwaj (Kumai)
368,Lohar,Dalit,Bishwokarma
369,Lohorong,Rai,
370,Lopchan,Tamang,
371,Luitel/Luintel,Bahun,Kaushik (Purbiya)
372,Mabuhang,Limbu,
373,Madikami,Newar Uray / Udhas,
374,Magar,Magar,
375,Mahaju,Newar-Kshatriya,Shrestha/Sheshya
376,Mahant,Tharu,
377,Mahara,Khas-Chhetri,
378,Mahapatra,Newar-Kshatriya,Shrestha/Sheshya
379,Maharjan,Newar,Jyapu
380,Mahat,Khas-Chhetri,
381,Mahat,Tarai-Hindu,
382,Mahato,Tharu,
383,Mainali,Bahun,Upamanyu (Kumai)
384,Maithili,Tarai-Hindu,Brahman
385,Majhaura,Tharu,
386,Majhi,Tharu,
387,Malbariya,Tharu,
388,Mali,Newar,Gathu
389,Mali,Tarai-Hindu,
390,Malla,Thakuri,
391,Malla,Newar-Kshatriya,Shrestha/Sheshya
392,Mallah,Tarai-Hindu,
393,Manandhar,Newar,Saymi
394,Mandaen,Tamang,
395,Mandal,Tarai-Dalit,Khatwe
396,Mangyung,Limbu,
397,Mardaniyan,Tharu,
398,Marhatta,Bahun,Parashar (Purbiya)
399,Marik,Tarai-Dalit,Dom
400,Martu,Magar,Rana
401,Marwadi/Marwari,Tarai-Hindu,
402,Maske/Maskey,Newar-Kshatriya,Shrestha/Sheshya
403,Maski,Magar,
404,Mathur,Tarai-Hindu,Kayastha
405,Mathema,Newar-Kshatriya,Shrestha/Sheshya
406,Mayam,Limbu,
407,Mayokpa,Jirel,
408,Mestar,Tarai-Dalit,
409,Mijar,Dalit,Mijar
410,Mishra,Tarai-Brahman,
411,Mishra,Bahun,"Atreya (Purbiya, Kumai)"
412,Mishra,Newar-Brahman,Tirhute Brahman
413,Miyan,Muslim,
